bad_account,fail_count,pool,role
4eQJuwznAD6LyVKs8vhnTWnQ6GuSXS6aYNiAasMx74Cw,420,unknown,unknown
Enc6rB84ZwGxZU8aqAF41dRJxg3yesiJgD7uJFVhMraM,118,unknown,unknown
FwxwM23qYD8qNR6LRVFSUX7eDfeFF3xK9NbpSmRCQy8f,91,unknown,unknown
Has2dQDkTXyzEm5HKCDyxHuCwPcPwf1PN6zQg7JKt9Xn,67,unknown,unknown
9t4P5wMwfFkyn92Z7hf463qYKEZf8ERVZsGBEPNp8uJx,60,unknown,unknown
F2KCaXcp7AoQtxTDvNEDCyMyWjSCAMWNzcyN9dsPfPs5,50,unknown,unknown
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,48,unknown,unknown
63sMvux7YMjUaanzhHSHc515dM8nmjtqMkrfwAsFJ3hS,39,unknown,unknown
8uxqxLsg3iDkWLkhp6m1Kbgw53LVQDZU4U17i8Zmxg1d,32,unknown,unknown
2ny7eGyZCoeEVTkNLf5HcnJFBKkyA4p4gcrtb3b8y8ou,28,unknown,unknown
FmxXDSR9WvpJTCh738D1LEDuhMoA8geCtZgHb3isy7Dp,28,unknown,unknown
FLckHLGMJy5gEoXWwcE68Nprde1D4araK4TGLw4pQq2n,27,unknown,unknown
Pi9nzTjPxD8DsRfRBGfKYzmefJoJM8TcXu2jyaQjSHm,22,unknown,unknown
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,21,unknown,unknown
6Q4HGLiJfNyiaF2ZhqCLNRuKu4duASthb1jkENCcBanm,20,unknown,unknown
9NkuAWB4LgCVFV77omEkJEjXqgV5PGupwMTu3B3pBRhc,20,unknown,unknown
5VTjvi4XhRCXUSitDGJXVp5iZpU2sypNAT5EvEvaXR6j,18,unknown,unknown
BF83iQ3svtuFaM7Eb5kFBGrsqTuHeZPnFCKBmzC1PTDQ,18,unknown,unknown
DGgbAS3oHCWNGxhyUv2uMRc1ZXDbkDFsNfD9HyTJdHyd,18,unknown,unknown
GF8SKKobum6UJnhX2mLHePU38htg5vdr9zcY4jH8Pqs2,18,unknown,unknown
CfZTL86UvfmT3biprZFQhQk8JhiWDn3YaqmXTFmTXBig,17,unknown,unknown
GhFfLFSprPpfoRaWakPMmJTMJBHuz6C694jYwxy2dAic,15,unknown,unknown
445fd6ffBZqWYsryCgs6wcE8exaLkRsMrefAQ5UHvt8v,14,unknown,unknown
CRo8DBwrmd97DJfAnvCv96tZPL5Mktf2NZy2ZnhDer1A,14,unknown,unknown
HZ5JFB1ZoZs6NQLr7bb4MMEXDgty4Vs1ZghoyX35mNnV,14,unknown,unknown
AHFAv95Z67xnPYuHTf5a9uMEHdXFvbQvwc4EazY3tpt7,13,unknown,unknown
3NTNsH2kadDdvr69YL7wDvMraN9G2KzmtKD3hYF6otBN,12,unknown,unknown
65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,12,unknown,unknown
DbuvwPuLvH8uy2B1sKuu18aCd2QpCvfZdfDtdRZztBd2,12,unknown,unknown
DhqdGGgkAnj8AYqh2zbb8JRS3bfZZ8j2JQTQZ739moCk,12,unknown,unknown
52ZjrBJDGueUBegcdknHZcwa5bnAiJcAJ65hgymxDdRB,11,unknown,unknown
8sjV1AqBFvFuADBCQHhotaRq5DFFYSjjg1jMyVWMqXvZ,11,unknown,unknown
CNRQ2Q5YURFcQrATzYeKUWgKUoBDfqzkDrRWf21UXCVo,11,unknown,unknown
FGQoLafigpyVb7mLa6pvsDDpDaEE3JetrzQoAggTo3n7,11,unknown,unknown
AbcuyoPeYnddzFoFQudsiFka8qd6tTwvLgxwtpTKTpKC,9,unknown,unknown
2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV,8,unknown,unknown
2o4369ha3bENAhJDan8mdRNJjNo6qQ9P5KhUS4QZUVgi,8,unknown,unknown
3Hwf5E7w71EfTk5EAZHAMFnndVdLEv9Gk9tymxFJgwDv,8,unknown,unknown
5pVN5XZB8cYBjNLFrsBCPWkCQBan5K5Mq2dWGzwPgGJV,8,unknown,unknown
8PbjFCfVNHH5PwP7xJj4JnGom397ybK3mLzw9164nZ4K,8,unknown,unknown
CVzcS1wwirHRqtcj1QF51GFag8Y886N4PWGMzHnbqkkf,8,unknown,unknown
qN8eqTR152tRtvu2zVQNkqDKR18mgVmYiDrv8RVU9ht,8,unknown,unknown
2n6fxuD6PA5NYgEnXXYMh2iWD1JBJ1LGf76kFJAayZmX,7,unknown,unknown
4y4KAXo8xQHhPN1XMJaEE2qcuDcndpqeBAXViV2VYTNg,7,unknown,unknown
6zx8YXPzmJEMRj8GQDMaj3aCUS3zuR3izaia2kTJenf3,7,unknown,unknown
8tpmZEtYup1UEXNqaKoXWE5eiK7yqxh9cGfh76YeCtuC,7,unknown,unknown
CMghWj6TEDfGTN5CSzo9p27kPMb73fsDPM22LqTe2C9y,7,unknown,unknown
CrkkeqLUo7n6gvzoYMPZ7CHjie1Zua2CHUPe2DFh8mmR,7,unknown,unknown
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,7,unknown,unknown
3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,6,unknown,unknown
55aNhhR33vhgcLViZnht4XKiyid1zNYhDzrxHmKQf3iP,6,unknown,unknown
C9fdYbm6pohfBWHh9bfkdyum3PCPgNmpUpyMrxXpVN6m,6,unknown,unknown
CnGXCHU54FoVwLVUqtN52F6DM1TvYTRSS1cLgmdSCxaK,6,unknown,unknown
DBxLBME3MbN1oEQhah8adNxYFwuLwhkr7BM3SEJ4uoTC,6,unknown,unknown
Drx7X5bUajSPY6m5f2QhD2CK8c3RBMKgueSpZgCgUzkP,6,unknown,unknown
HHSRKgSyAFVRsDdnV8k3LoxiLRZfSS7rgykfB3kvKpuq,6,unknown,unknown
HbFACE7GxA7XP9PrwYBiR7ZvBbQh7fmUFcRJWrPDt51M,6,unknown,unknown
3C5YE97HADPDxZehYq9Cis8AXr9aNyrUsczKzE1nDbW9,5,unknown,unknown
4FKYJwTySY9rhwGEUr544NLNbMwR9MF3hMcQVT9Emhix,5,unknown,unknown
4FkX872Wbo6NK7eNEmMnDRMJnwbu6tQsE6utb5fbDbzv,5,unknown,unknown
7T9uvDmpdKVzxsWkEQvpnZKnEsaK6LQ7tnDpd6pNJfZH,5,unknown,unknown
7UFhXo8UWF6xdjXk6y8sPFiCJEvJC8Lti72pYXcJ1pLQ,5,unknown,unknown
8HchJS2ufNvZv6i3Q6zRLvBDpVe1P72ArR86p2hUHvg6,5,unknown,unknown
CN8k1PtzJz2mGGdf5puwV14Dh1skMRkT42sSvhesf3nT,5,unknown,unknown
CQUfYBxF2KFVjYyCPyGa7JCFX9zw2PwmNnECzY3merGA,5,unknown,unknown
