key,pubkey,seen_count,first_seen_unix,last_seen_unix,severity,classification,action,pool,role,dex
1jzYpspa2Yaykfw5pNJY242Pt22yB8PjNMq2GCTxhZ4::unknown:live_state_stale,1jzYpspa2Yaykfw5pNJY242Pt22yB8PjNMq2GCTxhZ4,2,1781356329,1781356330,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,,unknown,unknown
22HUWiJaTNph96KQTKZVy2wg8KzfCems5nyW7E5H5J6w:22HUWiJaTNph96KQTKZVy2wg8KzfCems5nyW7E5H5J6w:pool:live_state_stale,22HUWiJaTNph96KQTKZVy2wg8KzfCems5nyW7E5H5J6w,1,1781356142,1781356142,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,22HUWiJaTNph96KQTKZVy2wg8KzfCems5nyW7E5H5J6w,pool,HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq
23n1iw2wJxo2SXF3rpj6kEK4RqErL4ax5AcMofVNFyk5:Eio6hAieGTAmKgfvbEfbnXke6o5kfEd74tqHm2Z9SFjf:tokenAccountA:live_state_stale,23n1iw2wJxo2SXF3rpj6kEK4RqErL4ax5AcMofVNFyk5,2,1781355777,1781355777,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,Eio6hAieGTAmKgfvbEfbnXke6o5kfEd74tqHm2Z9SFjf,tokenAccountA,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
283tAkQVKT89svN1jCZbHyMsrzRwwYBRuTPrT2y5Ldtj:283tAkQVKT89svN1jCZbHyMsrzRwwYBRuTPrT2y5Ldtj:pool:live_state_stale,283tAkQVKT89svN1jCZbHyMsrzRwwYBRuTPrT2y5Ldtj,1,1781354507,1781354507,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,283tAkQVKT89svN1jCZbHyMsrzRwwYBRuTPrT2y5Ldtj,pool,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
2EUNywMRWLggiQ4pijEtrFcTdEhpnvHJK9kiN8aqVwdm:4zQTE5nVDtykQavfRh2u5Fy6c9G2mzvX5n1qqAzAoswM:tokenAccountB:live_state_stale,2EUNywMRWLggiQ4pijEtrFcTdEhpnvHJK9kiN8aqVwdm,2,1781355117,1781355118,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,4zQTE5nVDtykQavfRh2u5Fy6c9G2mzvX5n1qqAzAoswM,tokenAccountB,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv:2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv:pool:live_state_stale,2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv,1,1781355509,1781355509,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,2QdhepnKRTLjjSqPL1PtKNwqrUkoLee5Gqs8bvZhRdMv,pool,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV:2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV:pool:live_state_stale,2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV,12,1781354224,1781356172,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,2kfQuYG2FVZL2RqqKEttcdadbPWP4c7b6AFQztNcBWyV,pool,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF
2n6fxuD6PA5NYgEnXXYMh2iWD1JBJ1LGf76kFJAayZmX:3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF:tokenAccountB:live_state_stale,2n6fxuD6PA5NYgEnXXYMh2iWD1JBJ1LGf76kFJAayZmX,3,1781354164,1781355515,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,3nMFwZXwY1s1M5s8vYAHqd4wGs4iSxXE4LRoUMMYqEgF,tokenAccountB,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2ny7eGyZCoeEVTkNLf5HcnJFBKkyA4p4gcrtb3b8y8ou:2Q6S8p9iZNzMvpTemiC56HqCJ3F3szNoyRkvqEKfCanY:globalState:normal,2ny7eGyZCoeEVTkNLf5HcnJFBKkyA4p4gcrtb3b8y8ou,27,1781354199,1781356742,needs_manual_static_or_synthetic,normal,none,2Q6S8p9iZNzMvpTemiC56HqCJ3F3szNoyRkvqEKfCanY,globalState,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF
2o4369ha3bENAhJDan8mdRNJjNo6qQ9P5KhUS4QZUVgi:2o4369ha3bENAhJDan8mdRNJjNo6qQ9P5KhUS4QZUVgi:pool:normal,2o4369ha3bENAhJDan8mdRNJjNo6qQ9P5KhUS4QZUVgi,2,1781354382,1781357006,needs_grpc_live_state,normal,none,2o4369ha3bENAhJDan8mdRNJjNo6qQ9P5KhUS4QZUVgi,pool,ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA
2w6WUGXVeUPeGpJTUSNu4btbpMkFtmjrQgpKi149it7K:ExcBWu8fGPdJiaF1b1z3iEef38sjQJks8xvj6M85pPY6:tokenAccountA:live_state_stale,2w6WUGXVeUPeGpJTUSNu4btbpMkFtmjrQgpKi149it7K,3,1781355457,1781356800,needs_grpc_live_state,live_state_stale,refresh_from_grpc_or_rpc_snapshot,ExcBWu8fGPdJiaF1b1z3iEef38sjQJks8xvj6M85pPY6,tokenAccountA,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
